,SA1_code,DZN_code,SA1_pop,SA1_visits,ratio,exclusion_code
0,20601110501,211051659,282.0,54039.0,191.62765957446808,NA
1,20601110502,211051657,785.0,57835.0,73.67515923566879,NA
2,20601110503,211051656,530.0,70920.0,133.81132075471697,NA
3,20601110504,211051656,439.0,49202.0,112.07744874715262,NA
4,20601110505,211051656,450.0,32436.0,72.08,NA
5,20601110506,211051657,527.0,77157.0,146.4079696394687,NA
6,20601110507, ,,,,no containing DZN
7,20601110508,211051656,479.0,56190.0,117.30688935281837,NA
8,20601110509, ,,,,no containing DZN
9,20601110510,211051654,691.0,57577.0,83.32416787264833,NA
10,20601110512,211051644,404.0,24050.0,59.52970297029703,NA
11,20601110514,211051644,554.0,18404.0,33.2202166064982,NA
12,20601110515,211051644,508.0,42802.0,84.25590551181102,NA
13,20601110516,211051644,351.0,25380.0,72.3076923076923,NA
14,20601110517,211051641,527.0,78427.0,148.8178368121442,NA
15,20601110518,211051641,567.0,26855.0,47.36331569664903,NA
16,20601110519,211051641,461.0,35922.0,77.92190889370933,NA
17,20601110520,211051641,509.0,92181.0,181.10216110019647,NA
18,20601110521, ,,,,no containing DZN
19,20601110522,211051653,793.0,154181.0,194.42749054224464,NA
20,20601110523, ,,,,no containing DZN
21,20601110524,211051652,592.0,44169.0,74.60979729729729,NA
22,20601110525,211051653,464.0,31209.0,67.26077586206897,NA
23,20601110526,211051653,644.0,64500.0,100.15527950310559,NA
24,20601110527,211051641,365.0,67731.0,185.56438356164384,NA
25,20601110528,211051641,406.0,22159.0,54.57881773399015,NA
26,20601110529,211051641,717.0,154614.0,215.64016736401675,NA
27,20601110530,211051659,762.0,59946.0,78.66929133858268,NA
28,20601110531,211051659,756.0,153169.0,202.60449735449737,NA
29,20601110532,211051659,256.0,6047.0,23.62109375,NA
30,20601110533,211051659,542.0,72704.0,134.14022140221402,NA
31,20601110534,211051659,821.0,64615.0,78.70280146163216,NA
32,20601110535,211051654,763.0,93215.0,122.16906946264744,NA
33,20601110536, ,,,,no containing DZN
34,20601110537,211051655,548.0,80677.0,147.22080291970804,NA
35,20601110538, ,,,,no containing DZN
36,20601110539,211051647,466.0,71594.0,153.6351931330472,NA
37,20601110540, ,,,,no containing DZN
38,20601110541, ,,,,no containing DZN
39,20601110542,211051647,577.0,68661.0,118.99653379549393,NA
40,20601110543,211051647,559.0,44089.0,78.87119856887298,NA
41,20601110545,211051649,1246.0,157827.0,126.6669341894061,NA
42,20601110546, ,,,,no containing DZN
43,20601110547,211051659,379.0,64262.0,169.55672823218998,NA
44,20601110548,211051659,434.0,126797.0,292.1589861751152,NA
45,20601110549,211051656,561.0,20736.0,36.962566844919785,NA
46,20601110550, ,,,,no containing DZN
47,20601110551,211051650,487.0,62087.0,127.48870636550308,NA
48,20601110552,211051650,561.0,15379.0,27.41354723707665,NA
49,20601110553,211051657,104.0,21107.0,202.95192307692307,NA
50,20601110554,211051648,360.0,101151.0,280.975,NA
51,20601110555,211051653,381.0,75730.0,198.76640419947506,NA
52,20601110556, ,,,,no containing DZN
53,20601110557,211051649,247.0,60586.0,245.28744939271255,NA
54,20601110558,211051657,1397.0,373930.0,267.66642806012885,NA
55,20601110559,211051647,656.0,46713.0,71.20884146341463,NA
56,20601110601,211061637,802.0,37119.0,46.28304239401496,NA
57,20601110602,211061636,1828.0,324019.0,177.25328227571117,NA
58,20601110603,211061636,921.0,87570.0,95.0814332247557,NA
59,20601110604,211061636,1608.0,118774.0,73.86442786069652,NA
60,20601110605,211061636,588.0,43083.0,73.2704081632653,NA
61,20601110606,211061636,421.0,32088.0,76.21852731591449,NA
62,20601110607,211061637,1159.0,95795.0,82.65314926660915,NA
63,20601110608,211061638,814.0,139011.0,170.77518427518427,NA
64,20601110609,211061637,712.0,128674.0,180.72191011235955,NA
65,20601110610,211061637,717.0,49165.0,68.57043235704323,NA
66,20601110611,211061637,667.0,23723.0,35.56671664167916,NA
67,20601110612,211061637,725.0,101166.0,139.53931034482758,NA
68,20601110613,211061637,559.0,31473.0,56.30232558139535,NA
69,20601110614,211061658,918.0,90712.0,98.81481481481481,NA
70,20601110615, ,,,,no containing DZN
71,20601110616,211061637,780.0,70454.0,90.32564102564102,NA
72,20601110617,211061658,714.0,36646.0,51.324929971988794,NA
73,20601110618,211061637,467.0,19471.0,41.69379014989293,NA
74,20601110619,211061637,435.0,46089.0,105.95172413793104,NA
75,20601110701,211071651,628.0,22025.0,35.07165605095541,NA
76,20601110702,211071651,400.0,39074.0,97.685,NA
77,20601110703,211071639,596.0,201728.0,338.4697986577181,NA
78,20601110704,211071639,475.0,53349.0,112.31368421052632,NA
79,20601110705,211071651,605.0,78092.0,129.0776859504132,NA
80,20601110706,211071639,725.0,71831.0,99.07724137931035,NA
81,20601110707,211071646,713.0,31601.0,44.32117812061711,NA
82,20601110708,211071646,432.0,20617.0,47.72453703703704,NA
83,20601110709,211071645,939.0,285131.0,303.653887113951,NA
84,20601110710,211071645,391.0,30505.0,78.01790281329923,NA
85,20601110711,211071645,710.0,247015.0,347.90845070422534,NA
86,20601110712,211071643,595.0,14353.0,24.12268907563025,NA
87,20601110713,211071643,559.0,26172.0,46.819320214669055,NA
88,20601110714,211071643,537.0,65562.0,122.08938547486034,NA
89,20601110715,211071645,606.0,152429.0,251.53300330033002,NA
90,20601110716,211071642,574.0,317933.0,553.890243902439,NA
91,20601110717,211071642,468.0,174355.0,372.5534188034188,NA
92,20601110718,211071642,467.0,63276.0,135.4946466809422,NA
93,20601110719,211071642,681.0,353664.0,519.330396475771,NA
94,20601110720,211071640,612.0,132507.0,216.51470588235293,NA
95,20601110721,211071640,455.0,108190.0,237.78021978021977,NA
96,20601110722,211071640,217.0,141138.0,650.405529953917,NA
97,20601110723,211071640,395.0,41432.0,104.89113924050633,NA
98,20601110724,211071640,431.0,68268.0,158.39443155452437,NA
99,20601110725,211071640,594.0,793204.0,1335.3602693602693,NA
100,20601110726,211071651,528.0,33033.0,62.5625,NA
101,20601110727,211071642,387.0,361425.0,933.9147286821706,NA
102,20601110728,211071642,386.0,119709.0,310.1269430051814,NA
103,20601110729,211071640,408.0,149445.0,366.2867647058824,NA
104,20601110730,211071639,308.0,83522.0,271.1753246753247,NA
105,20601110731,211071640,663.0,259343.0,391.1659125188537,NA
106,20601110801,211081667,419.0,158368.0,377.96658711217185,NA
107,20601110802,211081669,378.0,98530.0,260.66137566137564,NA
108,20601110803,211081669,672.0,156185.0,232.41815476190476,NA
109,20601110804,211081669,367.0,7949.0,21.659400544959126,NA
110,20601110805, ,,,,no containing DZN
111,20601110806,211081670,584.0,82534.0,141.32534246575344,NA
112,20601110807,211081670,782.0,98371.0,125.79411764705883,NA
113,20601110808, ,,,,no containing DZN
114,20601110809,211081670,577.0,30755.0,53.30155979202773,NA
115,20601110810,211081664,462.0,87441.0,189.26623376623377,NA
116,20601110811,211081664,449.0,44671.0,99.48997772828508,NA
117,20601110812,211081664,284.0,30900.0,108.80281690140845,NA
118,20601110813,211081664,426.0,11181.0,26.246478873239436,NA
119,20601110814,211081664,530.0,12281.0,23.171698113207547,NA
120,20601110815,211081672,612.0,47177.0,77.08660130718954,NA
