,SA1_code,apr20_test_daily_coverage
0,20601110501,0.628803477465111
1,20601110502,0.7904664064105199
2,20601110503,2.5772367620206937
3,20601110504,0.4106106253214784
4,20601110505,1.1070250896057348
5,20601110506,6.493175001530268
7,20601110508,3.1434440029631627
9,20601110510,2.8576163577797487
10,20601110512,1.8843819865857554
11,20601110514,2.230755793641551
12,20601110515,3.366713233426467
13,20601110516,4.485341420825291
14,20601110517,0.6210442553712432
15,20601110518,1.2830972293337886
16,20601110519,2.8659296060457633
17,20601110520,0.599404271500095
19,20601110522,2.832038400520685
21,20601110524,0.9112358326068003
22,20601110525,3.0221774193548385
23,20601110526,4.436084952915247
24,20601110527,2.7147149801148918
25,20601110528,0.448037501986334
26,20601110529,2.2898726773743645
27,20601110530,3.428541190415715
28,20601110531,1.1944871138419526
29,20601110532,0.3636592741935484
30,20601110533,1.566539697655041
31,20601110534,0.7924246591489529
32,20601110535,4.5248805648332135
34,20601110537,2.723981634094655
36,20601110539,3.1884950851446763
39,20601110542,2.1533515961312686
40,20601110543,2.9647988920307
41,20601110545,1.5969813079273028
43,20601110547,0.9838284109285896
44,20601110548,2.563549873643526
45,20601110549,0.55304467828187
47,20601110551,2.213088693117838
48,20601110552,0.5579322638146168
49,20601110553,0.8712779156327543
50,20601110554,0.8296594982078853
51,20601110555,4.238083142832952
53,20601110557,10.555178268251273
54,20601110558,4.42780612833953
55,20601110559,0.6440794649881982
56,20601110601,0.8685544204006115
57,20601110602,3.88139690830804
58,20601110603,3.117929319463417
59,20601110604,0.35233108650296907
60,20601110605,1.1365481676541582
61,20601110606,0.4702321661175388
62,20601110607,1.3231929639010271
63,20601110608,0.7306411983831338
64,20601110609,0.9688292859731787
65,20601110610,3.218518018625995
66,20601110611,2.65759055955893
67,20601110612,1.6403114571746384
68,20601110613,1.5358647354146229
69,20601110614,1.5921709185466302
71,20601110616,3.623573200992556
72,20601110617,2.3966296195897714
73,20601110618,0.7949851488568074
74,20601110619,0.7342973674453097
75,20601110701,0.6183480583521678
76,20601110702,1.8174193548387099
77,20601110703,3.5950963411993935
78,20601110704,0.8330050933786077
79,20601110705,2.300826446280992
80,20601110706,0.6665628476084539
81,20601110707,0.598018368547256
82,20601110708,0.2974910394265232
83,20601110709,3.9634133773059883
84,20601110710,2.969969474465803
85,20601110711,7.837301226715129
86,20601110712,1.5845486581729467
87,20601110713,1.3848462115528883
88,20601110714,1.145972247251757
89,20601110715,8.953316299371872
90,20601110716,28.600539507699224
91,20601110717,3.447132616487455
92,20601110718,9.106928230987084
93,20601110719,9.52162379801999
94,20601110720,6.624868226860636
95,20601110721,0.6129741226515419
96,20601110722,5.985134532481048
97,20601110723,1.1589220089832586
98,20601110724,3.128583189880997
99,20601110725,1.702291734549799
100,20601110726,0.3401759530791788
101,20601110727,22.96549137284321
102,20601110728,6.841467491225138
103,20601110729,0.9798387096774194
104,20601110730,1.226330121491412
105,20601110731,7.811317082664332
106,20601110801,12.241666025098157
107,20601110802,1.2413381123058542
108,20601110803,4.740831413210445
109,20601110804,2.867539773226685
111,20601110806,3.0292200618647818
112,20601110807,0.8936968896955697
114,20601110809,2.8473751886845196
115,20601110810,6.940371456500491
116,20601110811,1.2510237804439972
117,20601110812,3.592230804179919
118,20601110813,0.7672270180221112
119,20601110814,1.5486914181375535
120,20601110815,2.573845667299178
121,20601110816,3.030181086519115
122,20601110817,1.4630866171353334
123,20601110818,0.7055575035063113
124,20601110819,4.305076979472141
126,20601110821,6.188560585524532
128,20601110823,7.711086507976448
129,20601110824,0.6998235121090303
130,20601110825,3.4355701224771433
131,20601110826,1.3093239063190454
132,20601110827,3.8089612535961317
133,20601110828,0.4514282196503324
134,20601110829,1.82625416140512
135,20601110830,0.6360047043010751
137,20601110832,3.557765098017061
138,20601110833,7.78280378365268
139,20601110834,1.0378197997775305
140,20601110835,2.306451612903226
141,20601110836,1.5696464161807042
142,20601110837,4.803484253852781
143,20601110838,2.97134154783331
144,20601110839,0.7686590765338394
145,20601110840,3.1853971557405485
146,20601110841,1.2838345864661653
148,20601110843,1.054336611871518
149,20601110844,8.499433546002027
150,20601110845,0.32805373579898833
151,20601110846,1.0687291705967426
152,20601110847,10.476821699486628
153,20601110848,0.24930306650736758
154,20601110849,2.6231155778894473
155,20601110850,0.3983571778273405
156,20601110851,4.188202247191011
157,20601110852,9.741101223581758
158,20601110853,1.8487244360109634
159,20601110854,1.7651341969350605
160,20601110855,8.369200691781336
161,20601110856,1.482835158330867
162,20601110857,0.2994881561718843
163,20601110858,1.1372994002269412
164,20601110859,1.892157790180683
165,20601110860,9.238874311879405
166,20601110901,11.42432155657962
167,20601110902,4.132699490662139
168,20601110903,0.7314099651673481
169,20601110904,19.17630091829527
170,20601110905,0.8081766430912543
171,20601110906,2.7898271496201694
172,20601110907,4.758125151588649
173,20601110908,1.5937019969278037
174,20601110909,1.7681588764538074
175,20601110910,3.848573713676353
176,20601110911,5.949969357624379
177,20601110912,2.1096338273757627
178,20601110913,1.0320065396466076
179,20601110914,3.4891447657554715
180,20601110915,1.986519017814155
181,20601110916,0.49261460101867577
182,20601110917,7.8953774526105756
183,20601110918,1.2127273726438426
184,20601110919,8.10878136200717
185,20601110920,13.833062751464672
186,20601110921,7.104099168897027
187,20601110922,7.139508730393607
189,20601110924,5.811927518916765
191,20602111002,1.7306517987521575
192,20602111003,1.192592219817825
193,20602111004,2.715474520804114
194,20602111005,0.12188526173459532
