,SA1_code,jan22_test_daily_coverage
0,20601110501,4.400709219858156
1,20601110502,0.5291144442161495
2,20601110503,1.0394400486914182
3,20601110504,0.8868395914468367
4,20601110505,0.5454480286738351
5,20601110506,1.986717267552182
7,20601110508,1.3673648057108223
9,20601110510,0.6576256944120256
10,20601110512,0.8048546790162887
11,20601110514,1.564224991265867
12,20601110515,0.7662560325120649
13,20601110516,2.257053579634225
14,20601110517,2.202117891901818
15,20601110518,1.301701086647323
16,20601110519,0.7077881183961936
17,20601110520,3.2474808289498704
19,20601110522,1.7928243094821625
21,20601110524,1.676438535309503
22,20601110525,0.34906840934371525
23,20601110526,0.9292726908435184
24,20601110527,1.3305346884666371
25,20601110528,0.6815509296043223
26,20601110529,1.1927835515364198
27,20601110530,0.3449326898653797
28,20601110531,0.5837173579109062
29,20601110532,1.4459425403225807
30,20601110533,1.2507439590524938
31,20601110534,0.9564260736316842
32,20601110535,0.9201792584450176
34,20601110537,0.9386625853543679
36,20601110539,1.313789284230929
39,20601110542,0.6457762620897859
40,20601110543,1.7361071036990017
41,20601110545,1.2545694609848288
43,20601110547,1.40854540811984
44,20601110548,2.0407313810019323
45,20601110549,1.2319015582772697
47,20601110551,0.7953898125455389
48,20601110552,0.664711632453568
49,20601110553,0.9147022332506203
50,20601110554,2.0200716845878137
51,20601110555,0.6371179409025484
53,20601110557,1.9084497845109052
54,20601110558,1.0498533724340176
55,20601110559,0.5424370574350905
56,20601110601,1.1713056069503662
57,20601110602,1.0530458106868072
58,20601110603,0.8168540506462121
59,20601110604,1.1044374899695073
60,20601110605,0.8898946675444372
61,20601110606,0.5062447322044288
62,20601110607,0.9217066993236662
63,20601110608,1.1251089799476897
64,20601110609,1.4406487857919534
65,20601110610,0.6841229135735817
66,20601110611,0.9847656816752914
67,20601110612,0.9608008898776418
68,20601110613,0.8230134456691096
69,20601110614,0.7735610373181531
71,20601110616,1.1208436724565756
72,20601110617,0.8341013824884793
73,20601110618,0.30323962146853634
74,20601110619,0.2980348535409715
75,20601110701,2.6413601808095333
76,20601110702,1.1199193548387096
77,20601110703,1.1995561809915567
78,20601110704,0.38179966044142616
79,20601110705,0.5544121567581978
80,20601110706,1.404182424916574
81,20601110707,0.6523548839524047
82,20601110708,0.6778673835125448
83,20601110709,1.1902847916451957
84,20601110710,2.776173583037703
85,20601110711,4.7271240345297585
86,20601110712,1.3411222553537545
87,20601110713,1.3007674995671996
88,20601110714,1.3879377665645463
89,20601110715,3.078728840625998
90,20601110716,4.49640328200517
91,20601110717,3.9809070857457955
92,20601110718,4.168059680873109
93,20601110719,4.264838235990714
94,20601110720,2.4030149694286314
95,20601110721,4.498830202056008
96,20601110722,7.503344730191765
97,20601110723,2.9150673744385465
98,20601110724,1.6676146994985408
99,20601110725,2.322091886608016
100,20601110726,2.286290322580645
101,20601110727,2.3496707510210886
102,20601110728,6.597275614240348
103,20601110729,1.696078431372549
104,20601110730,0.7741935483870968
105,20601110731,3.166253101736973
106,20601110801,3.08507198398645
107,20601110802,1.8388803550093873
108,20601110803,2.9750384024577574
109,20601110804,2.384547771820339
111,20601110806,1.4572470172337606
112,20601110807,2.0360118802079037
114,20601110809,0.7559121149438139
115,20601110810,1.832774752129591
116,20601110811,0.6029887204540555
117,20601110812,1.3616537937301225
118,20601110813,0.309101923368166
119,20601110814,0.8975045648204504
120,20601110815,1.780202403542062
121,20601110816,1.9377555656519763
122,20601110817,1.8147277344117372
123,20601110818,1.2407959326788218
124,20601110819,1.627291055718475
126,20601110821,1.266522092708051
128,20601110823,2.821548990991898
129,20601110824,0.5263261104029807
130,20601110825,1.1391236846644817
131,20601110826,0.6092944468993962
132,20601110827,1.1069963885658323
133,20601110828,3.829660182221128
134,20601110829,0.4986224314085638
135,20601110830,1.8883568548387097
137,20601110832,1.4616123382859727
138,20601110833,1.2249171315385239
139,20601110834,1.0465100111234706
140,20601110835,3.1480579328505596
141,20601110836,1.4337491695578357
142,20601110837,2.1310424045180434
143,20601110838,3.24551202178227
