,SA1_code,apr20_base_daily_coverage
1,10201102802,0.5384392505311957
2,10201102803,0.8467624888805655
3,10201102804,0.5111569245694882
4,10201102805,0.9442071785552022
5,10201102806,1.3595248474280734
6,10201102807,0.2649674764370105
7,10201102808,0.2351522460054266
8,10201102809,0.3909370199692781
9,10201102810,0.250555655673695
10,10201102811,0.6117133791644632
11,10201102812,0.5420830259539937
12,10201102813,1.2036349795413457
13,10201102814,2.784997684827905
14,10201102815,0.7822939068100359
15,10201102816,0.5145806451612903
16,10201102817,0.6886561687815318
17,10201102818,0.5526514890982874
18,10201102901,0.14248902462301966
19,10201102902,0.4056426950774391
20,10201102903,1.5391235792654887
21,10201102904,0.6924218277738089
22,10201102905,0.8784819734345352
23,10201102906,0.3561827956989247
24,10201102907,1.1235079412054847
25,10201102908,0.7785103210109097
26,10201102909,0.050806451612903224
27,10201102910,0.9088773177546355
28,10201102911,3.1776403004860803
29,10201102912,0.6242352614015575
31,10201102914,0.8014568158168573
32,10201102915,0.48763537383448197
33,10201102916,0.7205784204671858
34,10201102917,2.159766319532639
35,10201102918,0.3640886125145745
36,10201102919,0.851189074640923
39,10201102922,0.6028088654816766
40,10201102923,1.8046060022468302
41,10201102924,2.094791854388178
42,10201102925,1.6678614097968936
43,10201102926,0.520864160994377
44,10201102927,0.37011884550084895
45,10201102928,2.1148369517447483
46,10201103002,2.091727686522858
48,10201103004,4.305757061274888
49,10201103005,2.87920384351407
50,10201103006,1.0163627863487612
52,10201103008,1.2500334627225271
55,10201103011,5.148767782007614
56,10201103012,4.789217852408307
59,10201103101,1.0622308165597258
60,10201103102,0.813176103693597
61,10201103103,0.6375470771246111
62,10201103104,3.599890029325513
63,10201103105,1.3522145417306706
64,10201103106,1.789373814041746
66,10201103108,1.9099120234604106
67,10201103109,0.615077926785067
68,10201103110,1.653177322386709
69,10201103111,1.0137410976120653
70,10201103112,0.5770398481973434
71,10201103113,0.7662750697734796
72,10201103114,1.081149193548387
73,10201103115,2.1714831760004634
74,10201103116,1.1221933063003087
75,10201103117,2.360464094225191
76,10201103118,1.0084932625561454
78,10201103120,1.1563275434243176
79,10201103121,2.1966108615761533
80,10201103122,1.0238363786750884
81,10201103123,0.5401803851466646
83,10201103125,0.5198743506101244
84,10201103126,0.9836114200964033
85,10201103127,1.1933772567810388
86,10201103128,0.2461679249599634
87,10201103129,4.167652639803549
88,10201103130,0.9089411992637798
91,10201103133,0.8981807063140194
92,10201103134,2.7584561703339743
93,10201103135,2.3789954337899544
94,10201103136,1.685483870967742
96,10201103138,2.7359801488833746
97,10201103201,1.1578049684835003
98,10201103202,4.791414488051413
99,10201103203,1.3537474355056964
100,10201103204,1.3335043988269795
101,10201103205,1.566294615478965
102,10201103206,17.87732848705134
103,10201103207,6.2165781951817065
104,10201103208,4.108599960580777
105,10201103210,7.380535811919081
106,10201103211,3.872883549940455
107,10201103212,1.0755517826825127
109,10201103214,1.991404753274996
110,10201103215,0.4070091596973317
111,10201103216,0.34730591988656506
112,10201103217,4.424080542428601
113,10201103218,1.9863417982155114
114,10201103219,3.3773142533753737
115,10201103220,1.5430107526881722
116,10201103221,2.0991880623217027
118,10201103224,14.988349628241906
119,10201103225,2.83508064516129
120,10201103226,0.800450112528132
121,10201103227,2.9767025089605728
122,10201103228,1.5254984170445796
124,10201103230,0.8668090367539621
125,10201103231,2.7525482671783186
126,10201103232,0.44870438921205713
127,10201103233,1.339520181552926
128,10201103234,2.754364089775561
129,10201103235,1.441778127458694
130,10201103236,7.855680224403926
131,10201103237,9.286399302528334
132,10201103238,1.294533608771651
133,10201103239,3.2704871939062423
135,10201103241,5.599167901516015
136,10201103242,2.6071884003211636
137,10201103243,3.8629032258064515
138,10201103244,2.4516627611307773
139,10201103245,5.801279803646564
140,10201103246,1.3243563184374079
141,10201103247,3.530771517764234
142,10201103248,3.465665236051502
143,10201103301,1.5921362314827634
144,10201103302,1.7482282502443793
145,10201103303,0.6569053610920461
146,10201103304,0.7062377986427442
147,10201103305,1.81207013465078
148,10201103306,0.6732314657611771
149,10201103307,1.1413489736070381
150,10201103308,0.4277507733097658
151,10201103309,1.604557855881881
152,10201103310,1.1830714088778607
153,10201103311,2.1504838709677423
154,10201103312,1.1824216923796167
155,10201103313,2.8088709677419357
156,10201103314,1.0379115397406053
157,10201103315,1.7718616401088225
159,10201103317,1.309149351394788
160,10201103318,0.49011446409989595
161,10201103319,1.3621778460488139
162,10201103320,48.87096774193548
163,10201103401,0.3817697543651968
164,10201103402,0.7452561669829222
165,10201103403,0.7856464116029006
166,10201103404,1.0795992513486734
167,10201103405,8.085179128883603
170,10201103408,4.792114695340501
171,10201103409,1.1579628431463167
172,10201103410,1.110478096851182
173,10201103411,1.1913729877556092
174,10201103412,0.4666967967911417
175,10201103413,0.7656186198448347
176,10201103414,1.3022256655867024
177,10201103415,0.7992009470257472
178,10201103416,0.6075025543716246
179,10201103417,1.3824681335896891
180,10201103418,0.4883678245308126
181,10201103419,0.5983287990672366
182,10201103501,0.49272989889263363
183,10201103502,1.4452013624524145
184,10201103503,1.2841837030173164
185,10201103504,1.8118386455460782
186,10201103505,1.2447736397618718
187,10201103506,0.5888376856118791
188,10201103507,5.683491461100569
189,10201103508,0.8053477247638906
190,10201103509,0.6915611424346058
191,10201103510,2.1106439061127147
192,10201103511,7.885893931109897
193,10201103512,0.7333397720687658
194,10201103513,1.379841160898127
195,10201103514,1.4492467860241343
196,10201103515,1.3842868382600877
197,10201103516,1.1519216437772808
199,10201103601,1.3382961124896608
