,SA1_code,DZN_code,SA1_pop,SA1_visits,ratio,exclusion_code
0,10201102801,110286284,,,,SA1 not found in Pathzz data
1,10201102802,110286284,668.0,11150.0,16.691616766467067,NA
2,10201102803,110286284,689.0,18086.0,26.24963715529753,NA
3,10201102804,110286284,266.0,4215.0,15.845864661654135,NA
4,10201102805,110286284,355.0,10391.0,29.270422535211267,NA
5,10201102806,110286284,592.0,24950.0,42.145270270270274,NA
6,10201102807,110286284,486.0,3992.0,8.213991769547325,NA
7,10201102808,110286284,428.0,3120.0,7.289719626168225,NA
8,10201102809,110286284,714.0,8653.0,12.119047619047619,NA
9,10201102810,110286283,537.0,4171.0,7.767225325884544,NA
10,10201102811,110286283,488.0,9254.0,18.96311475409836,NA
11,10201102812,110286283,481.0,8083.0,16.804573804573806,NA
12,10201102813,110286283,339.0,12649.0,37.31268436578171,NA
13,10201102814,110286283,418.0,36088.0,86.33492822966507,NA
14,10201102815,110286283,450.0,10913.0,24.25111111111111,NA
15,10201102816,110286283,250.0,3988.0,15.952,NA
16,10201102817,110286284,422.0,9009.0,21.348341232227487,NA
17,10201102818,110286284,469.0,8035.0,17.13219616204691,NA
18,10201102901,110296249,338.0,1493.0,4.4171597633136095,NA
19,10201102902,110296252,327.0,4112.0,12.574923547400612,NA
20,10201102903,110296251,491.0,23427.0,47.712830957230146,NA
21,10201102904,110296251,587.0,12600.0,21.465076660988075,NA
22,10201102905,110296251,425.0,11574.0,27.23294117647059,NA
23,10201102906,110296249,240.0,2650.0,11.041666666666666,NA
24,10201102907,110296253,327.0,11389.0,34.82874617737003,NA
25,10201102908,110296253,411.0,9919.0,24.1338199513382,NA
26,10201102909,110296253,400.0,630.0,1.575,NA
27,10201102910,110296251,508.0,14313.0,28.1751968503937,NA
28,10201102911,110296249,511.0,50337.0,98.5068493150685,NA
29,10201102912,110296249,464.0,8979.0,19.351293103448278,NA
30,10201102913, ,,,,no containing DZN
31,10201102914,110296250,310.0,7702.0,24.84516129032258,NA
32,10201102915,110296251,557.0,8420.0,15.11669658886894,NA
33,10201102916,110296251,435.0,9717.0,22.337931034482757,NA
34,10201102917,110296252,254.0,17006.0,66.95275590551181,NA
35,10201102918,110296252,415.0,4684.0,11.286746987951807,NA
36,10201102919,110296251,411.0,10845.0,26.386861313868614,NA
37,10201102920, ,,,,no containing DZN
38,10201102921,110296249,,,,SA1 not found in Pathzz data
39,10201102922,110296251,588.0,10988.0,18.687074829931973,NA
40,10201102923,110296250,402.0,22489.0,55.94278606965174,NA
41,10201102924,110296250,537.0,34872.0,64.93854748603351,NA
42,10201102925,110296251,594.0,30712.0,51.7037037037037,NA
43,10201102926,110296251,327.0,5280.0,16.146788990825687,NA
44,10201102927,110296249,627.0,7194.0,11.473684210526315,NA
45,10201102928,110296250,734.0,48121.0,65.5599455040872,NA
46,10201103002,110300001,652.0,42278.0,64.84355828220859,NA
47,10201103003, ,,,,no containing DZN
48,10201103004,110300001,418.0,55794.0,133.47846889952154,NA
49,10201103005,110300001,282.0,25170.0,89.25531914893617,NA
50,10201103006,110306044,414.0,13044.0,31.507246376811594,NA
51,10201103007, ,,,,no containing DZN
52,10201103008,110306044,241.0,9339.0,38.75103734439834,NA
53,10201103009, ,,,,no containing DZN
54,10201103010, ,,,,no containing DZN
55,10201103011,110306041,644.0,102790.0,159.61180124223603,NA
56,10201103012,110306040,438.0,65028.0,148.46575342465752,NA
57,10201103013, ,,,,no containing DZN
58,10201103014, ,,,,no containing DZN
59,10201103101,110316203,367.0,12085.0,32.9291553133515,NA
60,10201103102,110316203,331.0,8344.0,25.20845921450151,NA
61,10201103103,110316202,394.0,7787.0,19.763959390862944,NA
62,10201103104,110316202,528.0,58923.0,111.5965909090909,NA
63,10201103105,110316201,504.0,21127.0,41.91865079365079,NA
64,10201103106,110316204,272.0,15088.0,55.470588235294116,NA
65,10201103107, ,,,,no containing DZN
66,10201103108,110316201,275.0,16282.0,59.20727272727273,NA
67,10201103109,110316201,267.0,5091.0,19.06741573033708,NA
68,10201103110,110316201,499.0,25573.0,51.24849699398798,NA
69,10201103111,110316204,385.0,12099.0,31.425974025974025,NA
70,10201103112,110316206,170.0,3041.0,17.888235294117646,NA
71,10201103113,110316206,497.0,11806.0,23.75452716297787,NA
72,10201103114,110316205,512.0,17160.0,33.515625,NA
73,10201103115,110316205,557.0,37495.0,67.31597845601436,NA
74,10201103116,110316200,533.0,18542.0,34.78799249530957,NA
75,10201103117,110316200,367.0,26855.0,73.17438692098092,NA
76,10201103118,110316206,395.0,12349.0,31.263291139240508,NA
77,10201103119, ,,,,no containing DZN
78,10201103120,110316200,416.0,14912.0,35.84615384615385,NA
79,10201103121,110316200,316.0,21518.0,68.09493670886076,NA
80,10201103122,110316200,429.0,13616.0,31.73892773892774,NA
81,10201103123,110316201,397.0,6648.0,16.7455919395466,NA
82,10201103124, ,,,,no containing DZN
83,10201103125,110316201,267.0,4303.0,16.116104868913858,NA
84,10201103126,110316201,435.0,13264.0,30.491954022988505,NA
85,10201103127,110316203,377.0,13947.0,36.9946949602122,NA
86,10201103128,110316203,423.0,3228.0,7.631205673758865,NA
87,10201103129,110316203,578.0,74676.0,129.19723183391002,NA
88,10201103130,110316203,333.0,9383.0,28.177177177177178,NA
89,10201103131, ,,,,no containing DZN
90,10201103132, ,,,,no containing DZN
91,10201103133,110316201,422.0,11750.0,27.843601895734597,NA
92,10201103134,110316201,453.0,38737.0,85.5121412803532,NA
93,10201103135,110316201,438.0,32302.0,73.74885844748859,NA
94,10201103136,110316201,428.0,22363.0,52.25,NA
95,10201103137, ,,,,no containing DZN
96,10201103138,110316202,585.0,49617.0,84.81538461538462,NA
97,10201103201,110326132,435.0,15613.0,35.89195402298851,NA
98,10201103202,110326132,517.0,76792.0,148.53384912959382,NA
99,10201103203,110326132,739.0,31013.0,41.96617050067659,NA
100,10201103204,110326138,880.0,36378.0,41.33863636363636,NA
101,10201103205,110326138,263.0,12770.0,48.555133079847906,NA
102,10201103206,110326136,71.0,39348.0,554.1971830985915,NA
103,10201103207,110326134,395.0,76122.0,192.7139240506329,NA
