,SA1_code,apr20_base_daily_coverage
0,20601110501,6.181537405628003
1,20601110502,2.3766180398602836
2,20601110503,4.316494217894096
3,20601110504,3.615401572488794
4,20601110505,2.3251612903225807
5,20601110506,4.722837730305441
7,20601110508,3.7840932049296243
9,20601110510,2.687876382988656
10,20601110512,1.9203129990418397
11,20601110514,1.0716198905321999
12,20601110515,2.7179324358648715
13,20601110516,2.332506203473945
14,20601110517,4.80057538103691
15,20601110518,1.5278488934402914
16,20601110519,2.513609964313204
17,20601110520,5.842005196780531
19,20601110522,6.271854533620795
21,20601110524,2.4067676547515253
22,20601110525,2.169702447163515
23,20601110526,3.2308154678421164
24,20601110527,5.98594785682722
25,20601110528,1.7606070236771016
26,20601110529,6.956134431097315
27,20601110530,2.537719075438151
28,20601110531,6.53562894691927
29,20601110532,0.7619707661290323
30,20601110533,4.3271039162004525
31,20601110534,2.5388000471494245
32,20601110535,3.9409377246015302
34,20601110537,4.749058158700259
36,20601110539,4.955973972033781
39,20601110542,3.8385978643707714
40,20601110543,2.5442322118991285
41,20601110545,4.086030135142132
43,20601110547,5.469571878457741
44,20601110548,9.424483425003716
45,20601110549,1.1923408659651544
47,20601110551,4.112538915016228
48,20601110552,0.8843079753895693
49,20601110553,6.546836228287841
50,20601110554,9.063709677419356
51,20601110555,6.411819490305646
53,20601110557,7.912498367506855
54,20601110558,8.634400905165446
55,20601110559,2.297059402045633
56,20601110601,1.4930013675488698
57,20601110602,5.717847815345522
58,20601110603,3.0671430072501837
59,20601110604,2.382723479377307
60,20601110605,2.3635615536537196
61,20601110606,2.4586621714811123
62,20601110607,2.6662306215035207
63,20601110608,5.508876912102719
64,20601110609,5.829739035882566
65,20601110610,2.2119494308723624
66,20601110611,1.1473134400541665
67,20601110612,4.501268075639599
68,20601110613,1.8162040510127533
69,20601110614,3.1875746714456388
71,20601110616,2.913730355665839
72,20601110617,1.6556429023222194
73,20601110618,1.3449609725771914
74,20601110619,3.4177975528364852
75,20601110701,1.1313437435792069
76,20601110702,3.1511290322580647
77,20601110703,10.918380601861875
78,20601110704,3.6230220713073007
79,20601110705,4.1637963209810716
80,20601110706,3.196040044493883
81,20601110707,1.4297154232457132
82,20601110708,1.5395011947431303
83,20601110709,9.795286681095194
84,20601110710,2.516706542364491
85,20601110711,11.222853248523398
86,20601110712,0.7781512605042017
87,20601110713,1.5103006520860986
88,20601110714,3.9383672733825916
89,20601110715,8.113967848397742
90,20601110716,17.867427222659323
91,20601110717,12.017852219465123
92,20601110718,4.370795054223942
93,20601110719,16.752593434702288
94,20601110720,6.984345351043642
95,20601110721,7.67032967032967
96,20601110722,20.98082354690055
97,20601110723,3.3835851367905265
98,20601110724,5.109497792081432
99,20601110725,43.07613772129901
100,20601110726,2.0181451612903225
101,20601110727,30.1262815703926
102,20601110728,10.004094935651013
103,20601110729,11.815702087286528
104,20601110730,8.747591118558862
105,20601110731,12.618255242543668
106,20601110801,12.192470552005545
107,20601110802,8.408431472947601
108,20601110803,7.497359831029187
109,20601110804,0.6986903401599718
111,20601110806,4.558882015024304
112,20601110807,4.05787476280835
114,20601110809,1.7194051545815396
115,20601110810,6.105362379555928
116,20601110811,3.209354120267261
117,20601110812,3.5097682871422076
118,20601110813,0.8466606088141755
119,20601110814,0.7474741326841144
120,20601110815,2.486664558296437
121,20601110816,3.199389887713377
122,20601110817,5.0046082949308754
123,20601110818,2.3887622720897617
124,20601110819,4.081744868035191
126,20601110821,4.672756844673353
128,20601110823,3.731971214332444
129,20601110824,0.7365918227277184
130,20601110825,2.8480679661894084
131,20601110826,2.964133156576816
132,20601110827,1.0257085144151312
133,20601110828,2.3777394730361983
134,20601110829,2.3810699116060157
135,20601110830,1.0786290322580645
137,20601110832,2.1864301451895374
138,20601110833,8.520171396232517
139,20601110834,1.7718993325917685
140,20601110835,7.264713627386439
