,SA1_code,jan22_test_daily_coverage
1,10201102802,1.0215858605369905
2,10201102803,0.9122149913385458
3,10201102804,1.1615328644191123
4,10201102805,1.0386188096319855
5,10201102806,0.594485614646905
6,10201102807,1.5115491835921944
7,10201102808,1.4116671691287308
8,10201102809,0.9166892563477004
9,10201102810,0.39598726497266773
10,10201102811,1.5196985721840295
11,10201102812,1.6502581986452955
12,10201102813,0.46198496526786564
13,10201102814,1.5542521994134897
14,10201102815,1.0695340501792117
15,10201102816,1.5210322580645161
16,10201102817,0.9037608928298426
17,10201102818,1.4797441364605546
18,10201102901,0.9565756823821341
19,10201102902,0.8793528657393707
20,10201102903,0.33683726430589317
21,10201102904,1.4101225476726933
22,10201102905,1.3970398481973436
23,10201102906,1.1649193548387096
24,10201102907,1.3211995659465325
25,10201102908,0.6866023075111845
26,10201102909,0.9955645161290323
27,10201102910,1.4765684531369063
28,10201102911,0.9996843633608989
29,10201102912,0.9172691879866518
31,10201102914,2.032049947970864
32,10201102915,2.1820814269994786
33,10201102916,1.0760845383759734
34,10201102917,0.7345694691389383
35,10201102918,0.21274776525456665
36,10201102919,0.474923475394396
39,10201102922,2.4524358130348913
40,10201102923,2.2596693949606803
41,10201102924,2.1871208025470055
42,10201102925,0.5008145975887912
43,10201102926,0.4042616158626813
44,10201102927,1.0717703349282297
45,10201102928,0.5639008525973456
46,10201103002,6.792153176330893
48,10201103004,9.562972680969285
49,10201103005,3.8009608785175018
50,10201103006,1.066152407667134
52,10201103008,1.9168785972426716
55,10201103011,6.305199358845923
56,10201103012,1.1475916924436589
59,10201103101,3.309484046761009
60,10201103102,0.8122015398109346
61,10201103103,1.8723595873587686
62,10201103104,1.0868157380254153
63,10201103105,2.5080645161290325
64,10201103106,3.1944971537001896
66,10201103108,2.4564222873900294
67,10201103109,3.3660746647335986
68,10201103110,2.7374103044799276
69,10201103111,2.2577293674067866
70,10201103112,1.1462998102466795
71,10201103113,0.7487505679236711
72,10201103114,1.594758064516129
73,10201103115,6.637516650257717
74,10201103116,2.411608061490044
75,10201103117,4.1422167530983565
76,10201103118,1.3692119232339732
78,10201103120,4.0834367245657575
79,10201103121,2.3548387096774195
80,10201103122,1.5238739754868786
81,10201103123,0.9618103518322906
83,10201103125,1.0617373444484717
84,10201103126,1.196143863552095
85,10201103127,2.4470779498588175
86,10201103128,0.4538244490200564
87,10201103129,2.187855787476281
88,10201103130,5.688559527269205
91,10201103133,3.0921112979666723
92,10201103134,2.7720572527237772
93,10201103135,1.8035793194874061
94,10201103136,2.8185107024419658
96,10201103138,1.2178660049627794
97,10201103201,2.547126436781609
98,10201103202,1.3451675297934735
99,10201103203,1.7296259112139334
100,10201103204,1.6032624633431085
101,10201103205,1.2072856617196124
102,10201103206,24.770104497955476
103,10201103207,2.730665577786852
104,10201103208,3.3783588463307277
105,10201103210,5.078913796245671
106,10201103211,1.4966085020452544
107,10201103212,1.133668538592138
109,10201103214,1.2543364573085487
110,10201103215,2.083764768352582
111,10201103216,2.7845622119815667
112,10201103217,1.818985001027327
113,10201103218,2.4076183939601923
114,10201103219,0.8368501899911068
115,10201103220,2.227714186611169
116,10201103221,1.7973447443493527
118,10201103224,3.2704174228675136
119,10201103225,1.198521505376344
120,10201103226,0.8222055513878468
121,10201103227,0.7359793379717479
122,10201103228,1.2970822281167111
124,10201103230,1.0676070585590647
125,10201103231,1.278030938961506
126,10201103232,1.3042702273929134
127,10201103233,1.619873561355163
128,10201103234,1.5898962271740005
129,10201103235,0.8627852084972464
130,10201103236,2.5089761570827487
131,10201103237,2.6068003487358324
132,10201103238,1.826156046400763
133,10201103239,2.745769643678748
135,10201103241,1.632793799156503
136,10201103242,1.6545600528975581
137,10201103243,2.1351992409867173
138,10201103244,4.863738345714713
139,10201103245,2.889989481065919
140,10201103246,1.4391831902929861
141,10201103247,3.993310539616471
142,10201103248,1.240551017582722
143,10201103301,1.4788868891042504
144,10201103302,1.2366202346041055
145,10201103303,1.4937847937161595
146,10201103304,3.4847076322394726
147,10201103305,1.8117795214569408
148,10201103306,2.8867006225240517
149,10201103307,5.840469208211143
150,10201103308,3.3780380026513472
151,10201103309,3.0743058899053124
152,10201103310,3.6462641301350978
153,10201103311,3.383225806451613
154,10201103312,2.0852734922861154
155,10201103313,0.11612903225806452
156,10201103314,3.3259062188227473
157,10201103315,4.022852701127089
159,10201103317,0.9254390999885203
160,10201103318,4.134978445072098
161,10201103319,0.5243215565796211
162,10201103320,17.419354838709676
163,10201103401,1.3717815921870378
164,10201103402,2.9579696394686907
165,10201103403,1.079619904976244
166,10201103404,1.4461081140592313
167,10201103405,3.526980823546901
170,10201103408,3.7813620071684593
171,10201103409,0.3426379517515482
172,10201103410,1.092077912079452
173,10201103411,3.1133693828081297
174,10201103412,3.53268176939156
175,10201103413,1.76472029399755
176,10201103414,3.4531624172418653
177,10201103415,3.5495708789582725
178,10201103416,1.3788498029484748
179,10201103417,0.7469913836074913
180,10201103418,0.3688799155692195
181,10201103419,3.0939564710454723
182,10201103501,2.5104959075589792
183,10201103502,1.2196954518132639
184,10201103503,1.4296635200092662
185,10201103504,1.0822805104854742
186,10201103505,2.194586736812959
187,10201103506,2.2881720430107526
188,10201103507,0.9574952561669829
189,10201103508,2.3560039249356066
190,10201103509,1.4517053332100933
191,10201103510,0.9884523660097905
192,10201103511,2.526954620010935
193,10201103512,1.6893954027429015
194,10201103513,0.3860182370820668
195,10201103514,0.9120593106711886
196,10201103515,2.241879285152298
197,10201103516,1.0812307037155329
199,10201103601,7.083402260821616
