,SA1_code,jan22_base_daily_coverage
1,10201102802,0.948715472281244
2,10201102803,2.6638419401657383
3,10201102804,0.3125151588649042
4,10201102805,1.2142662426169923
5,10201102806,0.9125980819529207
6,10201102807,0.9242665604672774
7,10201102808,1.2174404582454026
8,10201102809,0.7007770850275594
9,10201102810,0.8155223163332732
10,10201102811,1.8508064516129032
11,10201102812,1.1068338810274294
12,10201102813,0.9587972214292511
13,10201102814,0.7535113443432628
14,10201102815,0.6664516129032259
15,10201102816,0.7945806451612903
16,10201102817,1.128191408041584
17,10201102818,1.2673498865121398
18,10201102901,1.2163580836037413
19,10201102902,0.4444115616059978
20,10201102903,0.45240128769463245
21,10201102904,0.6618673407704566
22,10201102905,1.4182922201138521
23,10201102906,1.5819892473118276
24,10201102907,1.5542073591792445
25,10201102908,0.4944666823640217
26,10201102909,1.0863709677419355
27,10201102910,1.2719075438150877
28,10201102911,1.6729373145634745
29,10201102912,1.523150723025584
31,10201102914,0.805098855359001
32,10201102915,1.7492326402965193
33,10201102916,0.7876900259547646
34,10201102917,1.7094234188468378
35,10201102918,0.2833268558103382
36,10201102919,1.3039792794914058
39,10201102922,2.4605003291639234
40,10201102923,1.9298667950569732
41,10201102924,2.890430708235718
42,10201102925,1.0990550667970023
43,10201102926,1.0754661142349806
44,10201102927,0.9212841487883935
45,10201102928,1.563373472795992
46,10201103002,5.937462893330696
48,10201103004,6.185676801975613
49,10201103005,2.7471974376572867
50,10201103006,1.6588748636434472
52,10201103008,1.417882478918485
55,10201103011,5.691344419955921
56,10201103012,1.376417734570629
59,10201103101,3.416014766634438
60,10201103102,0.13312542637169866
61,10201103103,1.9861634190273458
62,10201103104,1.51380742913001
63,10201103105,3.2447516641065026
64,10201103106,4.758538899430739
66,10201103108,3.134193548387097
67,10201103109,2.081672103419113
68,10201103110,2.7985648716788414
69,10201103111,1.989442815249267
70,10201103112,1.974573055028463
71,10201103113,0.7376517167521257
72,10201103114,1.1339465725806452
73,10201103115,2.1926796779984943
74,10201103116,2.5951703685771346
75,10201103117,1.835721191878351
76,10201103118,1.4169865251122906
78,10201103120,3.2075837468982633
79,10201103121,1.8966925275622704
80,10201103122,1.1566283179186405
81,10201103123,0.9801738847810187
83,10201103125,1.7381901655189078
84,10201103126,2.221727845754542
85,10201103127,4.744673568922734
86,10201103128,0.8599862731640358
87,10201103129,2.0419131599508877
88,10201103130,4.820401046207498
91,10201103133,2.8080568720379144
92,10201103134,1.151178523107598
93,10201103135,3.4734128737663874
94,10201103136,1.670259270425083
96,10201103138,2.178108629721533
97,10201103201,1.6984797923618837
98,10201103202,1.4079366069757289
99,10201103203,1.9604085730498932
100,10201103204,1.644941348973607
101,10201103205,1.6450386360848768
102,10201103206,21.66606088141754
103,10201103207,3.9184973458554513
104,10201103208,4.132711385585704
105,10201103210,2.4002186987424823
106,10201103211,1.556516336146637
107,10201103212,0.9034870053545775
109,10201103214,0.9929063325221353
110,10201103215,0.7605203770078323
111,10201103216,1.5281814959234314
112,10201103217,3.8315183891514284
113,10201103218,2.913177762525738
114,10201103219,2.0445468509984637
115,10201103220,4.859608047173084
116,10201103221,0.5706605222734255
118,10201103224,6.044025525437621
119,10201103225,2.6881720430107525
120,10201103226,0.46274068517129274
121,10201103227,0.6394686907020873
122,10201103228,2.0733721228715667
124,10201103230,0.8601775879509946
125,10201103231,3.3138265979134194
126,10201103232,0.8021549444738235
127,10201103233,2.2567677095153185
128,10201103234,1.8170702276566648
129,10201103235,2.2954366640440598
130,10201103236,2.8312061711079943
131,10201103237,5.082098227259517
132,10201103238,3.7295407595741303
133,10201103239,4.2387403506978165
135,10201103241,2.222614840989399
136,10201103242,1.4721579369952298
137,10201103243,2.1282613851992407
138,10201103244,4.173954230443236
139,10201103245,3.4829067321178115
140,10201103246,2.0946039262109104
141,10201103247,3.50795302512264
142,10201103248,1.0416724352762012
143,10201103301,2.265955973972034
144,10201103302,2.127932551319648
145,10201103303,1.5236025318386335
146,10201103304,2.225248675281212
147,10201103305,2.7294391165358904
148,10201103306,3.332314657611772
149,10201103307,2.968621700879765
150,10201103308,3.3710413904846077
151,10201103309,0.48017974642914457
152,10201103310,4.193640290414484
153,10201103311,3.544516129032258
154,10201103312,1.6510518934081346
155,10201103313,0.9388104838709677
156,10201103314,3.3276521449950116
157,10201103315,3.514457831325301
159,10201103317,0.8423831936631845
160,10201103318,3.744759922699569
161,10201103319,0.5342208568015019
162,10201103320,34.064516129032256
163,10201103401,1.487496300680675
164,10201103402,1.7440227703984819
165,10201103403,1.4706676669167293
166,10201103404,1.2707255312121546
167,10201103405,3.9765868886576485
170,10201103408,2.9469717856814635
171,10201103409,0.8332563083464276
172,10201103410,0.9981522827007469
173,10201103411,2.812356268257816
174,10201103412,2.6548782554657926
175,10201103413,2.187913434054716
176,10201103414,3.349133680800112
177,10201103415,3.207161882213672
178,10201103416,1.222522259524157
179,10201103417,0.380046998504593
180,10201103418,0.5507272977561603
181,10201103419,3.9213952584531677
182,10201103501,1.8255175734232065
183,10201103502,2.081646964536165
184,10201103503,0.9744599525105693
185,10201103504,1.2075931507727824
186,10201103505,2.2730167520420874
187,10201103506,1.9487455197132617
188,10201103507,1.0116698292220114
189,10201103508,2.6428308598062062
190,10201103509,1.22710047139292
191,10201103510,0.7929584536211874
192,10201103511,2.6226899945325317
193,10201103512,1.576395595904964
194,10201103513,0.9296989900970685
195,10201103514,1.2563293635144728
196,10201103515,1.7600314712824547
197,10201103516,1.265623336527201
199,10201103601,6.234353460159912
200,10201103602,2.2672242134607727
